(1,59,5)
(2,335,3)
(3,504,8)
(4,513,1)
(5,504,2)
(6,258,4)
(7,59,6)
(8,258,7)
(9,335,14)
(10,165,11)
(11,193,10)
(12,153,15)
(13,206,9)
(14,32,16)
(15,193,12)
(16,165,13)
(17,480,18)
(18,133,17)
(19,447,17)
(20,310,22)
(21,293,19)
(22,293,21)
(23,12,23)
(24,310,20)
(25,421,24)
(26,421,27)
(27,315,31)
(28,151,25)
(29,151,29)
(30,138,28)
(31,138,30)
(32,479,26)
(33,528,32)
(34,218,33)
(35,299,34)
(36,227,35)
(37,227,37)
(38,140,38)
(39,140,36)
(40,449,39)
(41,380,47)
(42,351,43)
(43,528,46)
(44,299,40)
(45,515,41)
(46,258,44)
(47,258,42)
(48,351,45)
(49,380,48)
(50,239,50)
(51,330,53)
(52,57,49)
(53,369,52)
(54,250,54)
(55,315,51)
(56,250,55)
(57,255,56)
(58,146,57)
(59,255,59)
(60,369,58)
(61,57,61)
(62,297,60)
(63,56,62)
(64,297,64)
(65,315,63)
(66,146,65)
(67,301,67)
(68,303,69)
(69,303,71)
(70,263,66)
(71,263,68)
(72,263,70)
(73,263,72)
(74,263,73)
(75,292,74)
(76,507,76)
(77,507,75)
(78,303,75)
(79,507,77)
(80,289,78)
(81,33,79)
(82,289,79)
(83,269,80)
(84,269,81)
(85,460,84)
(86,269,85)
(87,11,83)
(88,11,86)
(89,11,88)
(90,216,82)
(91,205,87)
(92,480,90)
(93,480,91)
(94,31,92)
(95,46,94)
(96,31,94)
(97,84,96)
(98,85,89)
(99,510,93)
(100,345,95)
(101,460,97)
(102,85,98)
(103,345,99)
(104,182,100)
(105,282,101)
(106,460,102)
(107,289,104)
(108,347,103)
(109,84,105)
(110,480,107)
(111,114,108)
(112,400,109)
(113,480,110)
(114,249,111)
(115,349,106)
(116,349,112)
(117,182,113)
(118,289,114)
(119,85,115)
(120,282,116)
(121,460,117)
(122,345,118)
(123,182,119)
(124,460,120)
(125,400,121)
(126,249,122)
(127,249,123)
(128,480,124)
(129,84,125)
(130,114,126)
(131,480,127)
(132,400,128)
(133,182,131)
(134,376,132)
(135,33,129)
(136,33,130)
(137,304,133)
(138,347,133)
(139,304,134)
(140,182,135)
(141,347,136)
(142,510,137)
(143,114,138)
(144,114,140)
(145,305,139)
(146,376,142)
(147,33,141)
(148,289,141)
(149,269,143)
(150,269,145)
(151,289,147)
(152,460,148)
(153,269,149)
(154,424,144)
(155,424,146)
(156,166,150)
(157,101,154)
(158,349,151)
(159,349,157)
(160,55,156)
(161,55,158)
(162,282,153)
(163,282,155)
(164,97,152)
(165,97,166)
(166,46,159)
(167,46,161)
